type,pc,pcct,pcno0
CAS,0.02144294756809,0.052979949797800005,20.2250518695
CRD,18.3608829829143,97.183941159,19.9934736881
CRE,18.9921025758429,97.3037727517,19.763233681400003
CSH,0.01049125712253,0.0366993920671,20.0999493411
DIS,0.19049870513271,0.885966846399,19.8000773124
NA ,0.16985175103092998,0.7372603903730001,19.9929097266
NO ,0.16822842560582998,0.5690631156329999,20.137029447
NOC,0.10788856038323,0.471446082283,17.7141127852
