type,pc
CAS,0.02144294756809
CRD,18.36088298291430
CRE,18.99210257584290
CSH,0.01049125712253
DIS,0.19049870513271
NA ,0.16985175103093
NO ,0.16822842560583
NOC,0.10788856038323
